"gene_id"	"brief.description"
"828"	"FBgn0004511"	""
"829"	"FBgn0004512"	""
"830"	"FBgn0004513"	""
"831"	"FBgn0004514"	""
"832"	"FBgn0004516"	""
"833"	"FBgn0004552"	""
"834"	"FBgn0004554"	""
"835"	"FBgn0004556"	""
"836"	"FBgn0004567"	""
"837"	"FBgn0004569"	""
"838"	"FBgn0004573"	""
"839"	"FBgn0004574"	""
"840"	"FBgn0004575"	""
"841"	"FBgn0004577"	""
"842"	"FBgn0004580"	""
"843"	"FBgn0004581"	""
"844"	"FBgn0004583"	""
"845"	"FBgn0004584"	""
"846"	"FBgn0004587"	""
"847"	"FBgn0004588"	""
"848"	"FBgn0004589"	""
"849"	"FBgn0004590"	""
"850"	"FBgn0004591"	""
"851"	"FBgn0004592"	""
"852"	"FBgn0004593"	""
"853"	"FBgn0004594"	""
"854"	"FBgn0004595"	""
"855"	"FBgn0004597"	""
"856"	"FBgn0004598"	""
"857"	"FBgn0004606"	""
"858"	"FBgn0004607"	""
"859"	"FBgn0004611"	""
"860"	"FBgn0004618"	""
"861"	"FBgn0004619"	""
"862"	"FBgn0004620"	""
"863"	"FBgn0004622"	""
"864"	"FBgn0004623"	""
"865"	"FBgn0004629"	""
"866"	"FBgn0004635"	""
"867"	"FBgn0004636"	""
"868"	"FBgn0004638"	""
"869"	"FBgn0004643"	""
"870"	"FBgn0004644"	""
"871"	"FBgn0004646"	""
"872"	"FBgn0004647"	""
