"primary"	"secondary"	"symbol"
"368"	"Dmel_CG45076"	""	""
"369"	"Dmel_CG45122"	""	""
"370"	"Dmel_CG4538"	""	""
"371"	"Dmel_CG45546"	""	""
"372"	"Dmel_CG4562"	""	""
"373"	"Dmel_CG4591"	""	""
"374"	"Dmel_CG4625"	""	""
"375"	"Dmel_CG4630"	""	""
"376"	"Dmel_CG4662"	""	""
"377"	"Dmel_CG4699"	""	""
"378"	"Dmel_CG4702"	""	""
"379"	"Dmel_CG4816"	""	""
"380"	"Dmel_CG4913"	""	""
"381"	"Dmel_CG5000"	""	""
"382"	"Dmel_CG5174"	""	""
"383"	"Dmel_CG5206"	""	""
"384"	"Dmel_CG5269"	""	""
"385"	"Dmel_CG5393"	""	""
"386"	"Dmel_CG5447"	""	""
"387"	"Dmel_CG5483"	""	""
"388"	"Dmel_CG5514"	""	""
"389"	"Dmel_CG5518"	""	""
"390"	"Dmel_CG5550"	""	""
"391"	"Dmel_CG5554"	""	""
"392"	"Dmel_CG5555"	""	""
"393"	"Dmel_CG5580"	""	""
"394"	"Dmel_CG5586"	""	""
"395"	"Dmel_CG5594"	""	""
"396"	"Dmel_CG5621"	""	""
"397"	"Dmel_CG5629"	""	""
"398"	"Dmel_CG5669"	""	""
"399"	"Dmel_CG5685"	""	""
"400"	"Dmel_CG5742"	""	""
"401"	"Dmel_CG5794"	""	""
"402"	"Dmel_CG5952"	""	""
"403"	"Dmel_CG6016"	""	""
"404"	"Dmel_CG6120"	""	""
"405"	"Dmel_CG6184"	""	""
"406"	"Dmel_CG6191"	""	""
"407"	"Dmel_CG6241"	""	""
"408"	"Dmel_CG6264"	""	""
"409"	"Dmel_CG6303"	""	""
"410"	"Dmel_CG6312"	""	""
"411"	"Dmel_CG6525"	""	""
"412"	"Dmel_CG6570"	""	""
"413"	"Dmel_CG6643"	""	""
"414"	"Dmel_CG6706"	""	""
"415"	"Dmel_CG6923"	""	""
"416"	"Dmel_CG6930"	""	""
"417"	"Dmel_CG6963"	""	""
"418"	"Dmel_CG7050"	""	""
"419"	"Dmel_CG7125"	""	""
"420"	"Dmel_CG7187"	""	""
"421"	"Dmel_CG7230"	""	""
"422"	"Dmel_CG7340"	""	""
"423"	"Dmel_CG7549"	""	""
"424"	"Dmel_CG7568"	""	""
"425"	"Dmel_CG7643"	""	""
"426"	"Dmel_CG7734"	""	""
