"primary"	"secondary"	"symbol"
"253"	"S000000253"	"YBR049C"	"REB1"
"254"	"S000000254"	"YBR050C"	"REG2"
"255"	"S000000255"	"YBR051W"	""
"256"	"S000000256"	"YBR052C"	"RFS1"
"257"	"S000000257"	"YBR053C"	""
"258"	"S000000258"	"YBR054W"	"YRO2"
"259"	"S000000259"	"YBR055C"	"PRP6"
"260"	"S000000260"	"YBR056W"	""
"261"	"S000000261"	"YBR057C"	"MUM2"
"262"	"S000000262"	"YBR058C"	"UBP14"
"263"	"S000000263"	"YBR059C"	"AKL1"
"264"	"S000000264"	"YBR060C"	"ORC2"
"265"	"S000000265"	"YBR061C"	"TRM7"
"266"	"S000000266"	"YBR062C"	""
"267"	"S000000267"	"YBR063C"	""
"268"	"S000000268"	"YBR064W"	""
"269"	"S000000269"	"YBR065C"	"ECM2"
"270"	"S000000270"	"YBR066C"	"NRG2"
"271"	"S000000271"	"YBR067C"	"TIP1"
"272"	"S000000272"	"YBR068C"	"BAP2"
"273"	"S000000273"	"YBR069C"	"TAT1"
"274"	"S000000274"	"YBR070C"	"ALG14"
"275"	"S000000275"	"YBR071W"	""
"276"	"S000000276"	"YBR072W"	"HSP26"
"277"	"S000000277"	"YBR073W"	"RDH54"
"278"	"S000000278"	"YBR074W"	"PFF1"
"279"	"S000000279"	"YBR075W"	""
"280"	"S000000280"	"YBR076W"	"ECM8"
"281"	"S000000281"	"YBR077C"	"SLM4"
"282"	"S000000282"	"YBR078W"	"ECM33"
"283"	"S000000283"	"YBR079C"	"RPG1"
"284"	"S000000284"	"YBR080C"	"SEC18"
"285"	"S000000285"	"YBR081C"	"SPT7"
"286"	"S000000286"	"YBR082C"	"UBC4"
"287"	"S000000287"	"YBR083W"	"TEC1"
"288"	"S000000288"	"YBR084W"	"MIS1"
"289"	"S000000289"	"YBR085W"	"AAC3"
"290"	"S000000290"	"YBR086C"	"IST2"
"291"	"S000000291"	"YBR087W"	"RFC5"
"292"	"S000000292"	"YBR088C"	"POL30"
"293"	"S000000293"	"YBR089W"	""
"294"	"S000000294"	"YBR090C"	""
"295"	"S000000295"	"YBR091C"	"TIM12"
"296"	"S000000296"	"YBR092C"	"PHO3"
"297"	"S000000297"	"YBR093C"	"PHO5"
"298"	"S000000298"	"YBR094W"	"PBY1"
"299"	"S000000299"	"YBR095C"	"RXT2"
"300"	"S000000300"	"YBR096W"	""
"301"	"S000000301"	"YBR097W"	"VPS15"
"302"	"S000000302"	"YBR098W"	"MMS4"
"303"	"S000000303"	"YBR099C"	""
"304"	"S000000304"	"YBR100W"	""
"305"	"S000000305"	"YBR101C"	"FES1"
"306"	"S000000306"	"YBR102C"	"EXO84"
"307"	"S000000307"	"YBR103W"	"SIF2"
"308"	"S000000308"	"YBR104W"	"YMC2"
"309"	"S000000309"	"YBR105C"	"VID24"
"310"	"S000000310"	"YBR106W"	"SND3"
"311"	"S000000311"	"YBR107C"	"IML3"
"312"	"S000000312"	"YBR108W"	"AIM3"
"313"	"S000000313"	"YBR109C"	"CMD1"
"314"	"S000000314"	"YBR110W"	"ALG1"
"315"	"S000000315"	"YBR111C"	"YSA1"
"316"	"S000000316"	"YBR112C"	"CYC8"
"317"	"S000000317"	"YBR113W"	""
"318"	"S000000318"	"YBR114W"	"RAD16"
"319"	"S000000319"	"YBR115C"	"LYS2"
"320"	"S000000320"	"YBR116C"	""
"321"	"S000000321"	"YBR117C"	"TKL2"
"322"	"S000000322"	"YBR118W"	"TEF2"
"323"	"S000000323"	"YBR119W"	"MUD1"
"324"	"S000000324"	"YBR120C"	"CBP6"
"325"	"S000000325"	"YBR121C"	"GRS1"
"326"	"S000000326"	"YBR122C"	"MRPL36"
"327"	"S000000327"	"YBR123C"	"TFC1"
"328"	"S000000328"	"YBR124W"	""
"329"	"S000000329"	"YBR125C"	"PTC4"
"330"	"S000000330"	"YBR126C"	"TPS1"
"331"	"S000000331"	"YBR127C"	"VMA2"
"332"	"S000000332"	"YBR128C"	"ATG14"
"333"	"S000000333"	"YBR129C"	"OPY1"
"334"	"S000000334"	"YBR130C"	"SHE3"
"335"	"S000000335"	"YBR131W"	"CCZ1"
"336"	"S000000336"	"YBR132C"	"AGP2"
"337"	"S000000337"	"YBR133C"	"HSL7"
"338"	"S000000338"	"YBR134W"	""
"339"	"S000000339"	"YBR135W"	"CKS1"
"340"	"S000000340"	"YBR136W"	"MEC1"
"341"	"S000000341"	"YBR137W"	""
"342"	"S000000342"	"YBR138C"	""
"343"	"S000000343"	"YBR139W"	"ATG42"
"344"	"S000000344"	"YBR140C"	"IRA1"
"345"	"S000000345"	"YBR141C"	"BMT2"
"346"	"S000000346"	"YBR142W"	"MAK5"
"347"	"S000000347"	"YBR143C"	"SUP45"
"348"	"S000000348"	"YBR144C"	""
"349"	"S000000349"	"YBR145W"	"ADH5"
"350"	"S000000350"	"YBR146W"	"MRPS9"
"351"	"S000000351"	"YBR147W"	"RTC2"
"352"	"S000000352"	"YBR148W"	"YSW1"
"353"	"S000000353"	"YBR149W"	"ARA1"
"354"	"S000000354"	"YBR150C"	"TBS1"
"355"	"S000000355"	"YBR151W"	"APD1"
"356"	"S000000356"	"YBR152W"	"SPP381"
"357"	"S000000357"	"YBR153W"	"RIB7"
"358"	"S000000358"	"YBR154C"	"RPB5"
"359"	"S000000359"	"YBR155W"	"CNS1"
"360"	"S000000360"	"YBR156C"	"SLI15"
"361"	"S000000361"	"YBR157C"	"ICS2"
"362"	"S000000362"	"YBR158W"	"AMN1"
"363"	"S000000363"	"YBR159W"	"IFA38"
"364"	"S000000364"	"YBR160W"	"CDC28"
"365"	"S000000365"	"YBR161W"	"CSH1"
"366"	"S000000366"	"YBR162C"	"TOS1"
"367"	"S000000367"	"YBR163W"	"EXO5"
"368"	"S000000368"	"YBR164C"	"ARL1"
"369"	"S000000369"	"YBR165W"	"UBS1"
"370"	"S000000370"	"YBR166C"	"TYR1"
"371"	"S000000371"	"YBR167C"	"POP7"
"372"	"S000000372"	"YBR168W"	"PEX32"
"373"	"S000000373"	"YBR169C"	"SSE2"
"374"	"S000000374"	"YBR170C"	"NPL4"
"375"	"S000000375"	"YBR171W"	"SEC66"
"376"	"S000000376"	"YBR172C"	"SMY2"
"377"	"S000000377"	"YBR173C"	"UMP1"
"378"	"S000000378"	"YBR174C"	""
"379"	"S000000379"	"YBR175W"	"SWD3"
"380"	"S000000380"	"YBR176W"	"ECM31"
"381"	"S000000381"	"YBR177C"	"EHT1"
"382"	"S000000382"	"YBR178W"	""
"383"	"S000000383"	"YBR179C"	"FZO1"
"384"	"S000000384"	"YBR180W"	"DTR1"
"385"	"S000000385"	"YBR181C"	"RPS6B"
"386"	"S000000386"	"YBR182C"	"SMP1"
"387"	"S000000387"	"YBR183W"	"YPC1"
"388"	"S000000388"	"YBR184W"	""
"389"	"S000000389"	"YBR185C"	"MBA1"
"390"	"S000000390"	"YBR186W"	"PCH2"
"391"	"S000000391"	"YBR187W"	"GDT1"
"392"	"S000000392"	"YBR188C"	"NTC20"
"393"	"S000000393"	"YBR189W"	"RPS9B"
"394"	"S000000394"	"YBR190W"	""
"395"	"S000000395"	"YBR191W"	"RPL21A"
"396"	"S000000396"	"YBR192W"	"RIM2"
"397"	"S000000397"	"YBR193C"	"MED8"
"398"	"S000000398"	"YBR194W"	"AIM4"
"399"	"S000000399"	"YBR195C"	"MSI1"
"400"	"S000000400"	"YBR196C"	"PGI1"
"401"	"S000000401"	"YBR197C"	""
"402"	"S000000402"	"YBR198C"	"TAF5"
"403"	"S000000403"	"YBR199W"	"KTR4"
"404"	"S000000404"	"YBR200W"	"BEM1"
"405"	"S000000405"	"YBR201W"	"DER1"
"406"	"S000000406"	"YBR202W"	"MCM7"
"407"	"S000000407"	"YBR203W"	"COS111"
"408"	"S000000408"	"YBR204C"	"LDH1"
"409"	"S000000409"	"YBR205W"	"KTR3"
"410"	"S000000410"	"YBR206W"	""
"411"	"S000000411"	"YBR207W"	"FTH1"
"412"	"S000000412"	"YBR208C"	"DUR1,2"
"413"	"S000000413"	"YBR209W"	""
"414"	"S000000414"	"YBR210W"	"ERV15"
"415"	"S000000415"	"YBR211C"	"AME1"
"416"	"S000000416"	"YBR212W"	"NGR1"
"417"	"S000000417"	"YBR213W"	"MET8"
"418"	"S000000418"	"YBR214W"	"SDS24"
"419"	"S000000419"	"YBR215W"	"HPC2"
"420"	"S000000420"	"YBR216C"	"YBP1"
"421"	"S000000421"	"YBR217W"	"ATG12"
"422"	"S000000422"	"YBR218C"	"PYC2"
"423"	"S000000423"	"YBR219C"	""
"424"	"S000000424"	"YBR220C"	""
"425"	"S000000425"	"YBR221C"	"PDB1"
"426"	"S000000426"	"YBR222C"	"PCS60"
"427"	"S000000427"	"YBR223C"	"TDP1"
"428"	"S000000428"	"YBR224W"	""
"429"	"S000000429"	"YBR225W"	""
"430"	"S000000430"	"YBR226C"	""
"431"	"S000000431"	"YBR227C"	"MCX1"
"432"	"S000000432"	"YBR228W"	"SLX1"
"433"	"S000000433"	"YBR229C"	"ROT2"
"434"	"S000000434"	"YBR230C"	"OM14"
"435"	"S000000435"	"YBR231C"	"SWC5"
"436"	"S000000436"	"YBR232C"	""
"437"	"S000000437"	"YBR233W"	"PBP2"
"438"	"S000000438"	"YBR234C"	"ARC40"
"439"	"S000000439"	"YBR235W"	"VHC1"
"440"	"S000000440"	"YBR236C"	"ABD1"
"441"	"S000000441"	"YBR237W"	"PRP5"
"442"	"S000000442"	"YBR238C"	""
"443"	"S000000443"	"YBR239C"	"ERT1"
"444"	"S000000444"	"YBR240C"	"THI2"
"445"	"S000000445"	"YBR241C"	""
"446"	"S000000446"	"YBR242W"	""
"447"	"S000000447"	"YBR243C"	"ALG7"
"448"	"S000000448"	"YBR244W"	"GPX2"
"449"	"S000000449"	"YBR245C"	"ISW1"
"450"	"S000000450"	"YBR246W"	"RRT2"
"451"	"S000000451"	"YBR247C"	"ENP1"
"452"	"S000000452"	"YBR248C"	"HIS7"
"453"	"S000000453"	"YBR249C"	"ARO4"
"454"	"S000000454"	"YBR250W"	"SPO23"
"455"	"S000000455"	"YBR251W"	"MRPS5"
"456"	"S000000456"	"YBR252W"	"DUT1"
"457"	"S000000457"	"YBR253W"	"SRB6"
"458"	"S000000458"	"YBR254C"	"TRS20"
"459"	"S000000459"	"YBR255W"	"MTC4"
"460"	"S000000460"	"YBR256C"	"RIB5"
"461"	"S000000461"	"YBR257W"	"POP4"
"462"	"S000000462"	"YBR258C"	"SHG1"
"463"	"S000000463"	"YBR259W"	""
"464"	"S000000464"	"YBR260C"	"RGD1"
"465"	"S000000465"	"YBR261C"	"TAE1"
"466"	"S000000466"	"YBR262C"	"MIC12"
"467"	"S000000467"	"YBR263W"	"SHM1"
"468"	"S000000468"	"YBR264C"	"YPT10"
"469"	"S000000469"	"YBR265W"	"TSC10"
"470"	"S000000470"	"YBR266C"	"SLM6"
"471"	"S000000471"	"YBR267W"	"REI1"
"472"	"S000000472"	"YBR268W"	"MRPL37"
"473"	"S000000473"	"YBR269C"	"SDH8"
"474"	"S000000474"	"YBR270C"	"BIT2"
"475"	"S000000475"	"YBR271W"	"EFM2"
"476"	"S000000476"	"YBR272C"	"HSM3"
"477"	"S000000477"	"YBR273C"	"UBX7"
"478"	"S000000478"	"YBR274W"	"CHK1"
"479"	"S000000479"	"YBR275C"	"RIF1"
"480"	"S000000480"	"YBR276C"	"PPS1"
"481"	"S000000481"	"YBR277C"	""
"482"	"S000000482"	"YBR278W"	"DPB3"
"483"	"S000000483"	"YBR279W"	"PAF1"
"484"	"S000000484"	"YBR280C"	"SAF1"
"485"	"S000000485"	"YBR281C"	"DUG2"
"486"	"S000000486"	"YBR282W"	"MRPL27"
