"primary"	"secondary"	"symbol"
"252"	"MGI:101940"	""	"Arhgdib"
"253"	"MGI:101941"	""	"E2f1"
"254"	"MGI:101945"	""	"D0Wsu1e"
"255"	"MGI:101946"	""	"Car5a"
"256"	"MGI:101947"	""	"Hnrnpd"
"257"	"MGI:101948"	""	"Wnt11"
"258"	"MGI:101949"	""	"Rad52"
"259"	"MGI:101950"	""	"Calcr"
"260"	"MGI:102462"	""	"Slc9a1"
"261"	"MGI:102463"	""	"Nfatc2"
"262"	"MGI:102465"	""	"Tex2"
"263"	"MGI:102467"	""	"Ptpn14"
"264"	"MGI:102468"	""	"Pla2r1"
"265"	"MGI:102469"	""	"Nfatc1"
"266"	"MGI:102470"	""	"mt-Ty"
"267"	"MGI:102471"	""	"mt-Tw"
"268"	"MGI:102472"	""	"mt-Tv"
"269"	"MGI:102473"	""	"mt-Tt"
"270"	"MGI:102474"	""	"mt-Ts2"
"271"	"MGI:102475"	""	"mt-Ts1"
"272"	"MGI:102476"	""	"mt-Tr"
"273"	"MGI:102477"	""	"mt-Tq"
"274"	"MGI:102478"	""	"mt-Tp"
"275"	"MGI:102479"	""	"mt-Tn"
"276"	"MGI:102480"	""	"mt-Tm"
"277"	"MGI:102481"	""	"mt-Tl2"
"278"	"MGI:102482"	""	"mt-Tl1"
"279"	"MGI:102483"	""	"mt-Tk"
"280"	"MGI:102484"	""	"mt-Ti"
"281"	"MGI:102485"	""	"mt-Th"
"282"	"MGI:102486"	""	"mt-Tg"
"283"	"MGI:102487"	""	"mt-Tf"
"284"	"MGI:102488"	""	"mt-Te"
"285"	"MGI:102489"	""	"mt-Td"
"286"	"MGI:102490"	""	"mt-Tc"
"287"	"MGI:102491"	""	"mt-Ta"
"288"	"MGI:102492"	""	"mt-Rnr2"
"289"	"MGI:102493"	""	"mt-Rnr1"
"290"	"MGI:102495"	""	"mt-Nd6"
"291"	"MGI:102496"	""	"mt-Nd5"
"292"	"MGI:102497"	""	"mt-Nd4l"
"293"	"MGI:102498"	""	"mt-Nd4"
"294"	"MGI:102499"	""	"mt-Nd3"
"295"	"MGI:102500"	""	"mt-Nd2"
"296"	"MGI:102501"	""	"mt-Cytb"
"297"	"MGI:102502"	""	"mt-Co3"
"298"	"MGI:102503"	""	"mt-Co2"
"299"	"MGI:102504"	""	"mt-Co1"
"300"	"MGI:102509"	""	"Defa31"
"301"	"MGI:102510"	""	"Defa-rs6"
"302"	"MGI:102512"	""	"Defa-rs4"
"303"	"MGI:102514"	""	"Defa-rs12"
